"","Carb","RMSEP","bias","SEE","slope","intercept","R2"
"1","AveFructose",1.45726433219982,-0.00765470142692593,1.45970371347585,0.894,0.526,0.498
"2","AveGlucose",1.1946215260778,0.0366341998941104,1.19607497478672,0.868,0.644,0.531
"3","AveSucrose",3.53312269648635,0.237605170582405,3.53107365959504,0.998,0.178,0.737
"4","AveTotalSugar",4.20615450261735,0.482558464658005,4.1854337537732,0.915,2.182,0.795
"5","Starch.y",2.33529797104785,0.422371524581912,2.30066090380683,1.017,-0.46,0.689
"6","Total_Poly",3.1340999611896,-2.23276710680667,2.20310597947072,1.035,-0.945,0.688
"7","WSP.y",2.65735573367542,-2.59716282912145,0.56334116114071,1.047,-0.673,0.677
