Sample Number,Variety,endo,Source notes,year,location,Extra Notes
14A0660,IaEV3002,su1,IaEv3002,2014,New York,
14A0661,Wu00802,su1,not found in compliation or diversity panel,2014,New York,
14A0663,Ind. 5817,su1,Found in Diversity Panel. No notes,2014,New York,
14A0664,IL673a,su1,LTB?272,2014,New York,
14A0665,Ma2402,su1,Ma2402-214,2014,New York,
14A0667,P51xRp1d,su1,Found in Diversity Panel. No notes,2014,New York,
14A0673,Check2,su1,not found in compliation or diversity panel,2014,New York,
14A0674,P39b,su1,Found in Diversity Panel. No notes,2014,New York,
14A0676,IL11D,su1,Evergreen,2014,New York,
14A0677,C42,su1,Golden Bantam,2014,New York,
14A0679,IL648,su1,Iowa 6038 self?,2014,New York,
14A0681,Check3,su1,not found in compliation or diversity panel,2014,New York,
14A0682,C90,su1,Found in Diversity Panel. No notes,2014,New York,
14A0683,S4,su1,Golden Bantam 77x Hayes White?,2014,New York,
14A0684,Check3,su1,not found in compliation or diversity panel,2014,New York,
14A0685,Ia453,su1,((P39 x I45) x I45) x I45,2014,New York,
14A0686,P39,su1,Purdue Bantam,2014,New York,
14A0687,IL800a,su1,(Gold cup x Pa405) x ((Gold Cup x Six Shooter white dent)S4 x((IL677a x IL549a)S5 x IL677a)S4),2014,New York,
14A0688,SD226,su1,Golden Market,2014,New York,
14A0690,C23,su1,Whipple Early Yellow,2014,New York,
14A0694,IL543c,su1,((IL104c x IL107a)x IL107a) x IL112a,2014,New York,
14A0695,C65,su1,Yellow sugary X C50 (3),2014,New York,
14A0696,P39LE-261:61,su1,Found in Diversity Panel. No notes,2014,New York,
14A0697,Check2,su1,not found in compliation or diversity panel,2014,New York,
14A0698,IL797a,su1,B5707 x B6011,2014,New York,
14A0699,IL744a,su1,IL459a x IL677a ,2014,New York,
14A0700,IL788a,su1,BES 1948 op,2014,New York,
14A0701,Ia5125,su1,(IP39 x Tendermost) x IP39,2014,New York,
14A0702,Wuh08127i,su1,(Ct1001 x FaHT32B sh2-I)Ct1001 {3}@4,2014,New York,
14A0704,Ia2132,su1,(TSR x I45) x Ia4329,2014,New York,
14A0705,P51,su1,Golden Bantam,2014,New York,
14A0706,Check3,su1,not found in compliation or diversity panel,2014,New York,
14A0707,IL27a,su1,Country Gentleman,2014,New York,
14A0708,Check2,su1,not found in compliation or diversity panel,2014,New York,
14A0709,Ma32,su1,(P39 x C4)x P39,2014,New York,
14A0710,IaEV3004,su1,Found in Diversity Panel. No notes,2014,New York,
14A0711,C1540,field,C1540 Su,2014,New York,
14A0712,P39a,su1,Found in Diversity Panel. No notes,2014,New York,
14A0713,IL804a,su1,Found in Diversity Panel. No notes,2014,New York,
14A0716,IL772a,su1,{[(44b X BOV1035) 442a] 459a} 677a ,2014,New York,
14A0718,B5870,su1,Found in Diversity Panel. No notes,2014,New York,
14A0719,P39M96,su1,P39 selection (purdue bantam),2014,New York,
14A0721,2,su1,Found in Diversity Panel. No notes,2014,New York,
14A0723,Wuh09144i,su1,Fa56A  sh2-i/+ x Ct1402) {@10} sh2 i/i  su/su,2014,New York,
14A0724,MDM-23,su1,Found in Diversity Panel. No notes,2014,New York,
14A0725,A632,field,Found in Diversity Panel. No notes,2014,New York,
14A0727,Ma83608,su1,Found in Diversity Panel. No notes,2014,New York,
14A0728,SD592,su1,Bloomcross P39,2014,New York,
14A0730,P35,su1,Found in Diversity Panel. No notes,2014,New York,
14A0734,IL767b,su1,IL197a X IL677a,2014,New York,
14A0735,IL676a,su1,(IL176a x IL21f)x IL325a,2014,New York,
14A0736,Check3,su1,not found in compliation or diversity panel,2014,New York,
14A0738,83612b,su1,Found in Diversity Panel. No notes,2014,New York,
14A0739,IL803a,su1,Found in Diversity Panel. No notes,2014,New York,
14A0741,P39xRp1d,su1,Found in Diversity Panel. No notes,2014,New York,
14A0742,M45,su1,Found in Diversity Panel. No notes,2014,New York,
14A0743,Check2,su1,not found in compliation or diversity panel,2014,New York,
14A0744,IL279AxRp1d,su1,Found in Diversity Panel. No notes,2014,New York,
14A0749,c8w,su1,not found in compliation or diversity panel,2014,New York,
14A0751,IL779a,su1,white dent x IL677a,2014,New York,
14A0755,Check2,su1,not found in compliation or diversity panel,2014,New York,
14A0756,MDM-19,su1,Found in Diversity Panel. No notes,2014,New York,
14A0759,IL751a,su1,IL671a x IL677a,2014,New York,
14A0761,IaEV3015,su1,(LDG x Ia191) x Ia191,2014,New York,
14A0762,MDM-21,su1,Found in Diversity Panel. No notes,2014,New York,
14A0763,Check3,su1,not found in compliation or diversity panel,2014,New York,
14A0764,ILB5870,su1,Found in Diversity Panel. No notes,2014,New York,
14A0766,Wuh07481i,su1,98419 x  (Fa56sh2ixCt1401)iisusu) @6,2014,New York,
14A0770,SD176,su1,Golden Sunshine,2014,New York,
14A0773,IL776a,su1,B5440 x IL677a,2014,New York,
14A0774,IL104g,su1,White Evergreen x unkown ?,2014,New York,
14A0775,Ia5261,su1,not found in compliation or diversity panel,2014,New York,
14A0776,IL47A,su1,Country Gentleman,2014,New York,
14A0777,IL761a,su1,Pioneer ERF,2014,New York,
14A0778,NJ112,su1,Found in Diversity Panel. No notes,2014,New York,
14A0779,IL31a,su1,Country Gentleman,2014,New York,
14A0780,IL124a,su1,Cream O'Gold,2014,New York,
14A0782,IL777a,su1,IL27a x IL677a,2014,New York,
14A0785,Check2,su1,not found in compliation or diversity panel,2014,New York,
14A0786,IL799b,su1,(Gold Cup x Pa405) x 59829,2014,New York,
14A0788,AS11,su1,Listed at As11 in some places and A511 in other. Change all to AS11,2014,New York,
14A0790,A10579,su1,Ia453 X Ia5125,2014,New York,
14A0791,Check3,su1,not found in compliation or diversity panel,2014,New York,
14A0794,MDM-18,su1,Found in Diversity Panel. No notes,2014,New York,
14A0796,304A,su1,Strain 304A-408-68(B),2014,New York,
14A0798,IL796a,su1,(IL702a x IL677a)x B6011,2014,New York,
14A0799,IL303b,su1,(IL101t x A930) x 98b,2014,New York,
14A0800,IL14C,su1,not found in compliation or diversity panel,2014,New York,
14A0801,B73,field,Iowa Stiff Stalk Synthetic,2014,New York,
14A0805,IL465a,su1,(IL85x H63)x IL86e,2014,New York,
14A0806,IL692c,su1,Yaxchilan x Northen Belle,2014,New York,
14A0807,Check3,su1,not found in compliation or diversity panel,2014,New York,
14A0808,MDM-20,su1,Found in Diversity Panel. No notes,2014,New York,
14A0809,Check4,su1,not found in compliation or diversity panel,2014,New York,
