"GenoName","Starch.BLUP"
"A632",5.50436010647478
"B73",4.91696909744858
"C1540",7.20822819839099
"DF14",7.56317830975229
"EP84",-0.277067181908125
"EP85",-1.89727054180413
"PI257506",-0.536426140695081
"PI257507",1.93162940460327
"Fa32B",1.82289462446503
"PI644099",4.81585644512098
"If825",-2.40049064986233
"Il677a",1.31861503760396
"M6388",1.56465952664634
"PI506411",-2.01256486473828
"M6415",-3.82635089285302
"M6421",3.02716881803241
"PI558532",0.40198928573063
"MR10",4.96850313665461
"PI690332",5.84863867760125
"PI690331",3.06346806828031
"NSL42805",-0.754668226156664
"NSL42806",-2.80046038180556
"R851",-2.70862154258769
"R853",-4.2512185413257
"PI587152",3.33984705220913
"W85",3.03189044548796
"We08408",4.96132166987651
"We09413",-1.80609246586138
"Wh00033",-0.718963808682819
"Wh00050",-2.01320670857083
"Wh00051",1.16701133714973
"Wh00065",-2.98306715943523
"Wh01001",-2.36421532534954
"Wh03031",-1.91372901084494
"Wh04020a",-1.54762389451829
"Wh04036V",0.561524895529165
"Wh05032a",-1.67555545217695
"Wh05051",-4.05935334019892
"Wh05066a",-1.33166863288381
"Wh05081a",-0.360309684431045
"Wh07013",-2.09277678471442
"Wh07020a",-3.23450850281284
"Wh07051",-0.4565786130173
"Wh07061a",1.68984772164924
"Wh07165R",-2.75613587370698
"Wh07166R",0.344808018295181
"Wh08022",-1.28587224685451
"Wh08042",-2.11509216575096
"Wh08091",0.36564766905403
"Wh08092",-1.67316178039076
"Wh08115b",-1.84529881043222
"Wh09009",0.733295931159481
"Wh09033",-1.73809060001727
"Wh09061",-1.67665088191366
"Wh09068",0.0125344612578965
"Wh09075",-1.06773212960187
"Wh09083",-0.530176293545012
"Wh09087",-1.14684459069788
"Wh09117R",-4.26023675791965
"Wh09126R",-0.083629245182051
"Wh09137R",-2.60827158356004
"Wh09141R",-0.813822662513251
"Wh10006R",0.219103535493932
"Wh10034R",-2.91192478479748
"Wh10035R",0.670044901576563
"Wh10046R",-4.37618075155727
"Wh10049R",-3.01114267938942
"Wh10080",2.07368476035438
"Wh10110R",-1.81124369439273
"Wh10113R",-2.94474141225478
"Wh10140R",-0.140190328198732
"Wh10163",-0.592803271507187
"Wh10173V",-0.222128576287727
"Wh10216V",0.669946862215643
"Wh10231V",-0.430576863249208
"Wh10802R",0.912680405769828
"Wh10804R",3.81489619824859
"Wh1095407_2",-1.26436449961329
"Wh92047",-1.33104305376613
"Wh92054",0.395177952030423
"Wh9261",-0.200144542325458
"Wh93006",-1.24577871280439
"Wh93016",-1.58449541359586
"Wh93017",-0.640891552361565
"Wh94053",-2.026743186395
"Wh95016a",-1.18969606160747
"Wh96011",-2.6488311945954
"Wh96034",-0.542044472726121
"Wh98044",-0.484681296092967
"Wh98063",0.0417163121036004
"Wuh07177i",4.5845221758036
"Wuh07182i",0.466645107242067
"Wuh07183i",-1.13699945575127
"Wuh07186i",3.68505076098269
"Wuh07413i",-1.11501829660609
"Wuh07422i",0.72583469296657
"Wuh07429i",-0.648755536562942
"Wuh07466i",2.42107365489148
"Wuh07469i",3.88261508054856
"Wuh07481i",0.783186975023793
"Wuh08127i",5.94233185804982
"Wuh09093i",-0.259148812784706
"Wuh09097i",0.981506105750169
"Wuh09098i",0.709620973124224
"Wuh09144i",-1.2560835540557
"Wuh09149i",-1.61883294716521
"Wuh09150i",1.97284422692848
"Wuh09153i",0.992772409397156
"Wuh09164i",-1.46820010974532
"Wuh09170i",-1.49806631044712
"Wuh09174i",2.84058374200536
"Wuh09183i",2.19948751291989
"Wuh09188i",0.223415926759909
"Wuh09191i",-1.92194226330015
"Wuh98032",-3.02064022667093
