"GenoName","Starch"
"MDM_1",15.64051324
"MDM_12",12.7713067285714
"MDM_15",18.2563280142857
"MDM_16",19.1643575055556
"MDM_17",21.36124585625
"MDM_18",22.3654719571429
"MDM_19",16.2762915333333
"MDM_2",13.7781701
"MDM_20",27.6366525428571
"MDM_21",14.8580785571429
"MDM_23",11.842734325
"MDM_5",16.36892013
"MDM_6",11.16086005
"MDM_8",14.18922855
"MDM_9",18.2532692
"Me121_wb",18.54633475
"Me2",15.3485457
"Me2rt",18.4432687875
"MR10",24.9557899714286
"ND1",41.6381280071429
"NJ159",19.542489525
"NJ618",17.6050375114286
"NJ7Y",8.15313213333333
"NSL42805",16.3601350875
"NSL42806",14.1550992625
"NSL8581",6.8313732
"NSL8582",16.6346898857143
"NSL8583",18.0802495666667
"OLCOTT",14.2770945166667
"P14",15.5232001222222
"P35",17.46886015
"P39",18.2687282186275
"P39_New",20.7617805
"P39_x_Rp1d",17.4089209727273
"P39b",21.3850866833333
"P39Le_253_60",19.2032233444444
"P39LE_261_61",17.2125482625
"P39M94",23.5184276125
"P51xRp1d",16.1482134
"PI358527",13.7552927090909
"PI358531",14.90877684
"PI358534",18.6386674222222
"PI358536",8.31850687777778
"PI358537",12.32830475
"PI358538",22.67154502
"PI358539",15.2745170571429
"PI506411",16.65384446
"PI509045",9.817309875
"PI550492",14.4834226111111
"PI558532",21.36167088
"PI567792",19.0485181875
"PI567793",19.83812999375
"PI567794",19.1415322666667
"PI587126",18.9216610666667
"PI587134",15.5769200666667
"PI587135",17.6767377264706
"PI587152",25.03325782
"PI644099",25.71600675
"R851",14.4131699666667
"R853",8.9659669
"SC1441",14.0582021
"SC6069",14.2146312428571
"SD176",14.9504199555556
"SD226",16.77703954
"SD245",11.7520802666667
"SD277",18.0145128
"SD469",16.4083336555556
"SD592",17.2254890888889
"SD789",18.7815693571429
"SD829",16.42480393
"SD883",20.685384275
"SD884",14.1375563571429
"SD908",11.7179247444444
"SD909",18.4216808555556
"T625",9.35292732222222
"V775",4.41602706
"V781",28.28679658
"VIA5492",11.98383045
"Vineland576",14.2674207625
"W1736",12.14677808
"W6728",13.0882672
"W6786",16.652892575
"W822GSE",20.44941826
"W85",21.9924750666667
"We01407",7.25615734444444
"We02404",7.13408932857143
"We02406",9.65280076
"We02412",9.20311138571429
"We03418a",5.52021599375
"We05401",2.34114302
"We05407",9.45927101428572
"We05408",4.69409451428571
"We05410",7.26446342
"We05411",10.5828338909091
"We06409b",7.4474449
"We06410",7.59626423333333
"We08408",15.3728882857143
"We08414a",10.69494322
"We08417a",12.385555275
"We09402",7.67926941
"We09413",6.06270983
"We09425",11.5123901235294
"We10401",8.364798075
"Wh00033",15.30433115
"Wh00050",15.741196375
"Wh00051",18.4182385333333
"Wh00065",11.84725447
"Wh01001",14.3361836857143
"Wh03031",12.4600731555556
"Wh04020a",14.8589893
"Wh04036V",20.298923025
"Wh05032a",13.7751177166667
"Wh05051",10.9196427285714
"Wh05066a",14.08282034
"Wh05081a",16.53120625
"Wh07013",13.5953295428571
"Wh07020a",12.1193786875
"Wh07051",17.330305825
"Wh07061a",20.52084015
"Wh07165R",12.4777746222222
"Wh07166R",17.29528544
"Wh08022",13.62470705
"Wh08042",13.9669251375
"Wh08091",15.1443596
"Wh08092",10.77406846
"Wh08115b",9.71495153333333
"Wh09009",18.0649599285714
"Wh09033",14.0521260444444
"Wh09061",14.4006579
"Wh09068",16.9986335
"Wh09075",14.00045155
"Wh09083",19.8115962666667
"Wh09087",15.1395072666667
"Wh09117R",11.278268825
"Wh09126R",16.9446038
"Wh09137R",13.4249517
"Wh09141R",15.9884497333333
"Wh10006R",20.43518544
"Wh10034R",13.32104325
"Wh10035R",20.6862328
"Wh10046R",7.75601643333333
"Wh10049R",12.9025025333333
"Wh10080",17.6285794071429
"Wh10110R",11.3754726285714
"Wh10113R",13.1818589
"Wh10140R",17.2591982
"Wh10163",12.7834733
"Wh10173V",16.5402756666667
"Wh10216V",16.6240404571429
"Wh10231V",17.2240665833333
"Wh10802R",16.37225362
"Wh10804R",22.9626673625
"Wh1095407_2",11.76118565
"Wh92047",19.9278196
"Wh92054",17.9009068428571
"Wh9261",16.3929468375
"Wh93006",11.845474725
"Wh93016",16.58780994
"Wh93017",15.2633646888889
"Wh94053",13.3900226
"Wh95016a",14.4242375428571
"Wh96011",13.0058037857143
"Wh96034",15.49564096
"Wh98044",15.1155722571429
"Wh98063",17.2270491125
"Wu00801",15.9260801
"Wu00802",12.57468874
"Wu04401",9.98437046
"Wu04806",10.6058731
"Wu04819",12.5507621833333
"Wu99811",14.6268272285714
"Wu99823",11.9197569061224
"Wuh07177i",24.3218428857143
"Wuh07182i",15.891663075
"Wuh07183i",14.9965978285714
"Wuh07186i",21.020817275
"Wuh07413i",15.72274648
"Wuh07422i",15.9988061555556
"Wuh07429i",15.491975075
"Wuh07466i",18.21772803
"Wuh07469i",30.1704826
"Wuh07481i",14.3655197857143
"Wuh08127i",24.9160699833333
"Wuh09093i",16.8534737928571
"Wuh09097i",18.3667929125
"Wuh09098i",14.99843715
"Wuh09144i",13.2955122571429
"Wuh09149i",15.7548635
"Wuh09150i",20.9938052194444
"Wuh09153i",18.5263822
"Wuh09164i",14.2805229375
"Wuh09170i",15.69106312
"Wuh09174i",19.5623902
"Wuh09183i",19.1760190727273
"Wuh09188i",7.9789772
"Wuh09191i",12.5616737714286
"Wuh98032",12.158067925
"WVG3",16.21765366
