"GenoName","Starch.BLUP"
"257A9",11.7792372864267
"PI358527",-1.67212876996305
"34f",-3.11882067533658
"471_U6",-4.33092131796458
NA,-1.13992722340681
"NSL8581",-3.88783988533476
"83610b",-4.53883422030382
"83612b",-3.97016104991921
"A10579",0.13599674007521
"A15",15.8331998763148
"A632",10.9816209235344
"A648",23.0211449785049
"A7",22.6918462366707
"AS11",1.18958710260449
"B5765",-5.5974352499013
"B5870",3.91730384610885
"B73",11.9684561024106
"Ames22015",1.85913489926257
"PI587126",2.67211276091022
"C15",2.53702154620989
"C1540",14.4111820157983
"Ames22017",-0.628390579875828
"C2",0.0423079649932024
"Ames22018",4.39124571476439
"C23_su",0.640005923603566
"Ames22019",0.642248996719022
"C27red",2.38778784214656
"C3",4.57115009938247
"C30",0.797794231155766
"Ames22020",3.46606075932594
"C38",5.13986608222509
"C4",5.34932744449871
"C40",0.287275539350082
"Ames23507",5.23939449922415
"Ames22011",0.224301621269762
"C5_NT",-0.131213635720657
"C65",1.91483159197763
"C68",2.27540135808889
"C68Rx_552_63",1.23515761019904
"C6A",1.50982402225651
"Ames22012",2.11713033804743
"Ames22013",0.983430267456312
"C81",8.01515630182437
"Ames22014",6.91006052345177
"C8w",-3.02059275727304
"Ames22024",0.984871127133901
"We05407",-1.28420101693832e-10
"W_5579",4.22494532620909e-12
"PI587135",7.87090104812853e-12
"IL125b",1.58059042740709e-12
"CI540",12.16176959344
"DF14",12.1468817800042
"EP58",-0.999580788310884
"EP60",2.98571226285678
"EP61",-0.0364933027199166
"EP62",-2.40942380527723
"EP82",-0.719360266163523
"EP83",1.65007000491812
"EP84",2.28780662886976
"EP85",-0.293933025191255
"PI257506",1.9059984398532
"PI257507",3.96081682817977
"Fa32B",3.56313251667547
"PI644099",8.86295688060653
"G8",0.632273655074156
"GMBAB",4.0068879566455
"PI550492",0.115599082242557
"HotevillaAzwhitesweetcorn_1",3.54537839049305
"I45",-3.87928110456713
"I817",1.34997149311211
"ames22028",-0.244592521818625
"ames22029",-1.78245199168813
"PI587134",0.102719057345865
"Ia2256",0.609003525741704
"Ia2730",4.06963917911472
"Ia4189",3.38244567908112
"Ia45_1",-2.1523646257258
"Ia45_2",-2.98173878112161
"Ia45_3",-2.5844115887658
"Ia453",-2.21511421257828
"Ia5220",-3.14910747564791
"Ia5261",0.223895887417273
"Ia59",0.329151480454084
"Ia_CG4189",3.2033363745175
"IaEV3002",-2.97621740920377
"IaEV3015",-2.78696883918184
"If825",-1.93388458844013
"If853",-7.71626595053197
"IL103a",-2.16700899494729
"IL104g",-0.130242129932851
"IL110K",10.4790476157478
"IL112t",0.446020309123591
"IL1171",-0.363024936856592
"IL11D",-0.595650198220764
"IL124a",-1.72902980550851
"IL13B",-0.392940899466334
"IL14b",-2.083480809649
"IL14C",-3.35216326457689
"PI690323",-1.25578534129579
"IL18b",-4.18099903519285
"IL200e",2.35756974328777
"IL21f",0.0489686652878107
"IL279AxRp1d",3.46118751751716
"IL27a",5.35043727091911
"IL303b",5.93472093197779
"IL318a",-2.15252111893601
"IL31a",0.626013080891112
"IL323a",3.15791543938855
"IL325a",-3.35181460485107
"IL328a",0.362063658370174
"IL354a",-2.81185388408546
"IL366a",-0.131683575514848
"IL368a",-4.56368971243197
"IL369b",-1.02865474029508
"IL370a",5.1706716230588
"IL393a",0.835578833965052
"IL395a",-4.76893810376454
"IL430a",0.577846896866938
"IL437a",2.38798548795394
"IL442a",-2.11234852039149
"IL44b",-6.59598740203508
"IL451b",4.85592123937331
"IL453b",-1.68999907375885
"IL454a",-2.10501899947916
"IL465a",-1.97986573615312
"IL47A",0.560531616355715
"IL515a",3.91051169560366
"IL543c",-4.31053690667425
"IL545",-1.25414018627344
"IL557a",-2.92246521988691
"IL607a",-4.73242763983984
"IL611a",-1.88002872747265
"IL615a",0.516649154639222
"IL618b",-2.41423778044475
"IL648",-1.22065279691779
"IL661a",-5.75257285716697
"IL671a",6.10474434491615
"IL673a",3.44373871558988
"IL676a",3.78970478149874
"IL678a",-1.78396261686147
"IL689a",-1.23684804867032
"IL692c",1.1892272387148
"IL696a",-8.12207201049249
"IL699e",0.709967386225464
"IL7",0.567697713925605
"IL701e",0.579453919552079
"IL707a",-1.35096303949783
"IL713a",4.90882075124227
"IL729a",-3.18704905445321
"Ames27444",-11.8527962923626
"IL733a",-5.45694693497631
"IL744a",-9.12749768241419
"IL747b",-6.864373339044
"IL751a",-5.47061566285132
"IL757b",-5.79476777851891
"IL761a",1.80893049513498
"IL764b",-9.90378712805108
"IL765a",-7.75180424550965
"IL766a",-7.71927050713598
"Ames27445",-6.94334761778754
"IL772a",-3.5115514626876
"IL773a",-4.06179284496929
"IL775a",-9.58221867787817
"IL776a",-6.60270584524751
"IL777a",-5.97721719269672
"IL778c",-10.2716369804136
"Ames27447",-4.73413404198801
"IL788a",2.78581122570957
"IL789b",-3.12316214287157
"IL791a",-4.04953454019747
"IL793a",-0.0927833680952367
"IL794a",-1.5998397542284
"IL795a",-7.41048519461993
"IL796a",-9.93010350403511
"IL797a",-6.75029210938227
"IL798c",-9.10858659363555
"IL799b",-4.29217606506559
"IL801a",-8.41392171844115
"IL802b_Ht2",-8.06692140274392
"IL803a",-7.39028841739356
"IL804a",-8.93115727223717
"IL86e",1.16860062233617
"IL91j",-0.225615583504741
"ILB5765",-5.52417784415598
"ILB5870",1.77222061729902
"ILB6011",0.248876445652713
"IP_39",4.47136627168029
"Jubileeex9017",-4.02454821635306
"LUTHERHILL",0.619356185369867
"Ames22034",2.11817733739373
