"GenoName","Sucrose"
"Ames22020",6.9836922
"Ames22021",7.2590256
"Ames22021",6.7400055
"Ames22021",7.6740074
"Ames22021",4.762001
"Ames22021",8.0874138
"Ames22021",3.8077164
"Ames22021",3.5848618
"Ames22021",2.6238823
"Ames22021",2.5881996
"Ames22021",5.7953644
"Ames22021",2.8717575
"C4",2.6045609
"C4",9.9798279
"C4",5.1420174
"C4",11.1643639
"C4",3.04206275
"C4",12.9915161
"C4",11.5267105
"C4",3.196106
"Ames22022",15.7676811
"Ames22022",11.7954369
"Ames22022",11.7780609
"Ames22022",10.8759766
"Ames22022",10.4856796
"Ames22022",10.1927109
"Ames22022",8.2787704
"Ames23507",6.1244965
"Ames23507",5.3527946
"Ames23507",2.3854027
"Ames23507",21.5029488
"Ames23507",4.2866096
"Ames23507",8.7643204
"Ames23507",3.8293686
"Ames26813",4.7812042
"Ames26813",8.0339699
"Ames26813",10.4685249
"Ames26813",8.4187012
"Ames26813",4.5576706
"Ames26813",9.1752586
"Ames26813",8.5874634
"C5_NT",2.5419006
"C5_NT",10.246479
"C5_NT",4.000679
"C5_NT",1.5070343
"C5_NT",12.9351387
"C5_NT",9.9214821
"C5_NT",4.1005707
"C5_NT",8.9078674
"C65",3.7754593
"C65",5.7510185
"C65",5.8458023
"C65",0
"C65",6.4719582
"C65",6.0881157
"C65",7.5361404
"C65",8.4411392
"C65",1.94627
"C68",3.6529121
"C68",6.4584236
"C68",2.3674049
"C68",6.8620644
"C68",4.9579506
"C68",5.8356781
"C68",4.6193886
"C68Rx_552_63",2.0992699
"C68Rx_552_63",3.6320038
"C68Rx_552_63",7.2612305
"C68Rx_552_63",6.9777107
"C68Rx_552_63",12.8692017
"C68Rx_552_63",6.1861839
"C68Rx_552_63",11.6412964
"C68Rx_552_63",8.491684
"C6A",7.1806183
"C6A",12.1322594
"C6A",7.7756729
"C6A",1.1932449
"C6A",12.4173393
"C6A",12.7542381
"C6A",10.0673294
"C6A",7.3839264
"Ames22012",9.6862068
"Ames22012",4.0775337
"Ames22012",3.655117
"Ames22012",6.7389488
"Ames22012",6.2494583
"Ames22012",7.1557693
"Ames22012",6.934967
"Ames22012",7.210022
"Ames22012",10.8471069
"Ames22013",7.532856
"Ames22013",11.41699025
"Ames22013",6.6351433
"Ames22013",5.7836533
"Ames22013",6.0768318
"Ames22013",10.0166931
"Ames22013",6.9748497
"Ames22013",4.5789032
"Ames22013",9.3646507
"Ames22013",7.5714417
"C81",0.6551094
"C81",7.0503883
"C81",7.9275017
"C81",5.2255058
"C81",7.0706635
"C81",6.677845
"C81",7.1881371
"C81",3.9992599
"C81",8.9992218
"Ames22014",7.4159241
"Ames22014",7.1021194
"Ames22014",8.6074905
"Ames22014",8.9681664
"Ames22014",10.6152382
"C8w",9.8449135
"C8w",9.2892075
"Ames22024",10.8428917
"Ames22024",11.6693153
"Ames22024",9.4480324
"Ames22024",6.6097107
"DF14",14.5454464
"DF14",10.9163647
"DF14",14.8742194
"DF14",12.22194765
"DF14",5.8559589
"DF14",11.7999573
"DF14",6.7491798
"DF14",14.5619221
"EP58",8.0926704
"EP58",8.4073143
"EP58",0
"EP58",12.4201508
"EP60",7.1989746
"EP60",10.9408035
"EP60",6.2599411
"EP61",9.4753532
"EP61",11.3508644
"EP61",5.2014809
"EP61",4.219471
"EP62",10.9424553
"EP62",8.7767067
"EP62",10.0905571
"EP82",5.0205555
"EP82",11.9353104
"EP82",11.6919823
"EP82",9.1645966
"EP82",4.1721573
"EP82",6.1757011
"EP83",9.4158821
"EP83",5.8752251
"EP83",11.5435276
"EP83",5.5152397
"EP83",13.3821373
"EP84",18.0160255
"EP84",17.0799694
"EP84",18.5305672
"EP84",18.2156334
"EP84",19.5315971
"EP85",19.1338921
"EP85",20.2035446
"EP85",22.0818253
"EP85",18.1542549
"Fa32B",18.3981781
"Fa32B",8.2618484
"Fa32B",15.3956089
"Fa32B",19.4658852
"Fa32B",17.4616318
"Fa32B",6.693285
"PI644099",16.4180679
"PI644099",7.115406
"PI644099",15.3662415
"PI644099",6.8975677
"PI644099",16.021595
"PI644099",18.4414787
"G8",3.8105621
"G8",11.6088486
"G8",0
"G8",8.9347038
"G8",9.849865
"G8",3.2658768
"G8",10.0819397
"G8",7.2636223
"G8",9.1419449
"GMBAB",8.2531738
"GMBAB",13.7960262
"GMBAB",7.2011032
"GMBAB",10.884449
"PI550492",14.3031921
"PI550492",15.9036713
"PI550492",11.3909111
"PI550492",10.8468895
"PI550492",3.4564819
"PI550492",4.3779793
"PI550492",10.5737419
"PI550492",7.5976486
"PI550492",5.9706726
"I45",19.9229088
"I45",11.18796462
"I45",13.3183746
"I45",4.8445816
"I45",4.7744522
"I817",11.3186226
"I817",7.6257286
"I817",9.7562866
"I817",4.9645348
"I817",4.3372765
"I817",8.8544617
"I817",5.74683
"I817",10.0796318
"I817",15.0129166
"Ames22028",7.5008087
"Ames22028",9.178299
"Ames22028",7.328186
"Ames22028",1.3470993
"Ames22028",7.1838074
"Ames22029",9.385067
"Ames22029",6.4528694
"Ames22029",10.6341324
"Ames22029",2.5026817
"Ames22029",7.079895
"Ames22029",8.6504974
"Ames22029",9.3199997
"Ames22029",13.7339935
"PI587134",7.0917053
"PI587134",8.6607513
"PI587134",6.5198097
"PI587134",7.7175713
"PI587134",7.8036079
"PI587134",2.224453
"PI587134",6.8479385
"PI587134",8.6010056
"PI587134",4.6001091
"PI587134",4.9119606
"PI587134",6.320446
"PI587134",8.6839371
"PI587134",9.5255623
"PI587134",6.3670425
"PI587134",4.0405159
"PI587134",5.2349434
"Ia2256",8.4734421
"Ia2256",5.851387
"Ia2256",5.0131073
"Ia2256",3.4846001
"Ia2256",6.1683617
"Ia2256",3.4008331
"Ia2256",6.9550819
"Ia2256",7.3015175
"Ia2256",5.7425842
"Ia2256",7.2768707
"Ia2256",7.8919411
"Ia2256",8.0679703
"Ia2256",4.262043
"Ia2730",5.6909523
"Ia2730",2.8286209
"Ia2730",1.2074127
"Ia2730",6.669323
"Ia4189",12.2515602
"Ia4189",14.0782242
"Ia4189",5.8600082
"Ia4189",11.5254402
"Ia4189",10.2092896
"Ia4189",3.7453575
"Ia4189",5.4749146
"Ia4189",6.3655167
"Ia4189",9.801384
"Ia45_1",11.4191208
"Ia45_1",14.0834694
"Ia45_1",9.4334793
"Ia45_1",15.8511314
"Ia45_2",6.6927528
"Ia45_2",16.1259003
"Ia45_2",4.1467247
"Ia45_2",12.3025208
"Ia45_2",6.0031052
"Ia453",11.9031029
"Ia453",2.327961
"Ia453",11.2472191
"Ia453",3.5770149
"Ia453",7.3100014
"Ia453",14.4211502
"Ia453",8.3921204
"Ia453",9.6645088
"Ia453",13.2862396
"Ia453",9.1594315
"Ia453",6.498188
"Ia453",11.1366539
"Ia453",11.9054565
"Ia453",11.3328705
"PI587135",5.3644066
"PI587135",4.4632378
"PI587135",7.8913078
"PI587135",8.125782
"PI587135",7.2401428
"PI587135",5.8632317
"PI587135",7.6967545
"PI587135",7.6783676
"PI587135",4.571106
"PI587135",11.0253754
"PI587135",5.1144714
"PI587135",3.5255241
"PI587135",6.4036407
"PI587135",7.6365585
"PI587135",4.1274986
"PI587135",9.7466717
"PI587135",3.2587318
"PI587135",8.4295788
"Ia5220",9.5978661
"Ia5220",6.7400856
"Ia5220",10.1458855
"Ia5220",12.4336777
"Ia5220",9.1078491
"Ia5261",10.1536827
"Ia5261",8.6017456
"Ia5261",9.9154358
"Ia5261",13.2642365
"Ia5261",3.4199791
"Ia5261",10.7029228
"Ia5261",11.2819633
"Ia5261",9.3878021
"Ia5261",11.2408752
"Ia5261",10.6063614
"Ia59",13.5554581
"Ia59",11.5809784
"Ia59",11.6891174
"Ia59",8.2470741
"Ia59",10.8695145
"Ia59",10.8504982
"Ia59",11.9164047
"Ia59",15.1738243
"Ames22025",11.212944
"Ames22025",8.9220848
"Ames22025",9.6611404
"Ames22025",14.3183479
"Ames22025",13.3869247
"Ames22025",3.0428047
"Ames22025",10.9897156
"Ames22025",8.6372871
"Ames22026",11.8085518
"Ames22026",12.7242813
"Ames22026",9.2316093
"Ames22026",4.2260704
"IaEV3002",16.0726662
"IaEV3002",16.8241768
"IaEV3002",6.1220932
"IaEV3002",10.8573188666667
"IaEV3002",18.9809456
"IaEV3002",17.9200668
"IaEV3002",12.3398399
"Ames22027",7.4844513
"Ames22027",13.6891251
"Ames22027",12.1962013
"Ames22027",10.3906364
"Ames22027",10.0599709
"Ames22027",16.1795959
"Ames22027",13.7594185
"IaEV3015",15.2743797
"IaEV3015",14.7812042
"IaEV3015",14.4630966
"IaEV3015",8.62732315
"IaEV3015",15.1822891
"If825",24.821867
"If825",20.336731
"If825",18.9300308
"If825",27.16115
"If825",25.0355072
"If825",19.3666382
"If825",21.8765965
"If825",19.0746689
"If825",20.3297443
"If853",NA
"If853",16.5029411
"If853",20.8024292
"If853",25.0969391
"If853",19.6048927
"If853",28.4730911
"If853",17.7776871
"If853",25.0089684
"Ames27119",7.6011314
"Ames27119",4.6054535
"Ames27119",5.4579201
"Ames27119",7.2017326
"Ames27119",10.586338
"Ames27119",12.5456543
"Ames27119",7.4384041
"Ames27119",9.1059647
"Ames27119",11.0133934
"Ames27119",3.1679039
"Ames27119",9.9408035
"IL103a",10.7062111
"IL103a",14.4929008
"IL103a",9.7226067
"IL103a",10.5167274
"IL103a",10.4088593
"IL103a",10.1061172
"IL103a",10.8535118
"IL103a",10.5768661
"IL104g",15.2521744
"IL104g",12.5563698
"IL104g",8.8175201
"IL104g",5.5172844
"IL104g",8.4811211
"IL104g",14.6271706
"IL104g",9.6363373
"IL104g",9.7241135
"IL104g",9.9485474
"IL110K",5.6595612
"IL110K",4.0860291
"IL110K",8.0577164
"IL110K",6.8241653
"IL110K",3.7149124
"IL112t",5.1716652
"IL112t",4.9191704
"IL112t",10.7027054
"IL112t",6.8576584
"IL112t",7.5012703
"IL112t",6.9681664
"IL112t",9.4809227
"IL112t",10.432106
"IL1171",10.3330956
"IL1171",4.8158951
"IL1171",8.2443237
"IL1171",4.2518883
"IL1171",7.4472961
"IL1171",6.8890495
"IL1171",10.2865715
"IL1171",8.6383438
"IL1171",13.1167679
"IL11D",13.7951813
"IL11D",8.093811
"IL11D",3.7308769
"IL11D",9.0514603
"IL11D",7.0126915
"IL11D",6.5412903
"IL11D",4.8766937
"IL11D",4.1670437
"IL124a",1.7222977
"IL124a",8.5987854
"IL124a",10.9641495
"IL124a",10.6643372
"IL124a",10.6707268
"IL124a",6.1996765
"IL124a",12.9944458
"IL124a",14.4373627
"IL124a",11.8557014
"IL125b",13.599556
"IL125b",7.507515
"IL125b",10.8034172
"IL125b",9.8232994
"IL125b",12.7275658
"IL125b",10.3941574
"IL14b",16.482811
"IL14b",6.8929367
"IL14b",11.4259644
"IL14b",10.2366409
"IL14b",11.8707581
"IL14b",14.6229782
"IL14b",18.6074371
"IL14C",7.4441185
"IL14C",16.2612762
"IL14C",16.0739708
"IL14C",15.7423134
"IL14C",14.7235374
"IL14C",14.5828819
"IL14C",13.2281418
"IL14C",10.186245
"Ames27118",10.0264854
"Ames27118",7.5089264
"Ames27118",10.006279
"Ames27118",12.2262115
"Ames27118",8.3200989
"Ames27118",15.3179474
"Ames27118",14.0219345
"Ames27118",7.4411964
"Ames27118",11.2615089
"Ames27118",12.7569122
"Ames27118",11.6913033
"Ames27118",8.0112457
"Ames27118",15.0493774
"IL18b",13.2051582
"IL18b",11.678009
"IL18b",6.4412804
"IL18b",13.9330711
"IL18b",11.6924896
"IL18b",13.5524521
"IL18b",13.2952576
"IL18b",14.3730545
"IL200e",10.1744995
"IL200e",11.3519669
"IL200e",5.2250481
"IL200e",8.7298012
"IL200e",8.8891144
"IL200e",8.5559845
"IL200e",17.9488068
"IL200e",7.4441032
"IL21f",16.471447
"IL21f",3.7952766
"IL21f",15.8362045
"IL21f",12.048317
"IL21f",14.9156342
"IL21f",16.6823349
"IL279AxRp1d",6.8337784
"IL279AxRp1d",14.2151375
"IL279AxRp1d",11.9754562
"IL27a",12.8162613
"IL27a",10.9070473
"IL27a",8.482193
"IL27a",12.7097397
"IL27a",11.8474083
"IL27a",10.7848816
"IL27a",6.8324165
"IL27a",2.2136345
"IL27a",6.8981514
"IL303b",4.558651
"IL303b",4.1478806
"IL303b",5.3611259
"IL303b",6.5139084
"IL303b",9.3796158
"IL303b",9.1135597
"IL303b",3.4220619
"IL303b",5.3002968
"IL318a",8.9302368
"IL318a",8.7073593
"IL318a",8.192627
"IL31a",11.0609512
"IL31a",4.1261101
"IL31a",8.5992126
"IL31a",8.2235603
"IL31a",12.5362701
"IL31a",3.3394394
"IL31a",3.3413773
"IL323a",3.8834152
"IL323a",5.7727547
"IL323a",5.8079338
"IL323a",5.3205395
"IL323a",6.41145705
"IL323a",11.9483032
"IL323a",6.004158
"IL323a",10.613533
"IL323a",7.7298088
"IL323a",11.009922
"IL325a",6.567852
"IL325a",9.1728859
"IL325a",10.5221405
"IL325a",3.0560455
"IL325a",12.5514946
"IL325a",10.9468765
"IL325a",12.3595505
"IL328a",9.1025543
"IL328a",11.3885803
"IL328a",14.832222
"IL328a",6.3479385
"IL328a",11.1668587
"IL328a",12.9078178
"IL328a",12.0425758
"IL328a",14.0163383
"IL354a",12.5039253
"IL354a",10.0831566
"IL354a",9.8021355
"IL354a",2.6483879
"IL354a",7.2142029
"IL354a",9.8005867
"IL354a",12.7583542
"IL354a",16.2721329
"IL354a",12.3595467
"IL366a",11.8857002
"IL366a",11.1042328
"IL366a",10.7487335
"IL366a",12.92939
"IL366a",14.3364754
"IL368a",24.3785591
"IL368a",21.7037773
"IL368a",10.8888626
"IL368a",21.2594032
"IL368a",11.8271294
"IL368a",17.7134552
"IL369b",12.3080521
"IL369b",12.0771065
"IL369b",8.0890884
"IL369b",13.2114067
"IL369b",6.8537712
"IL370a",12.1566391
"IL370a",1.6563454
"IL370a",8.7348747
"IL370a",17.5608215
"IL370a",14.3658943
"IL370a",10.9464188
"IL370a",9.0601807
"IL393a",12.5313148
"IL393a",11.8238029
"IL393a",10.5986748
"IL393a",10.045929
"IL393a",3.6634026
"IL393a",9.0428314
"IL393a",6.8944054
"IL393a",12.3486519
