SampleLabel,Inbred,superblock,block,rep,Row,Col,Check,IsFill,IsExperimental,Year,Location,NIRBase,FileSource,,,,,,
537,W7151,1,25,2,53,3,99,1,1,2015,Wisconsin,15W537,Wi_plot_line_2015_rep2,,,,,,
538,C12-1,1,25,2,53,2,99,1,1,2015,Wisconsin,15W538,Wi_plot_line_2015_rep2,,,,,,
539,Ma2402,1,25,2,53,1,99,1,1,2015,Wisconsin,15W539,Wi_plot_line_2015_rep2,,,,,,
540,IL676a,1,25,2,54,1,99,1,1,2015,Wisconsin,15W540,Wi_plot_line_2015_rep2,,,,,,
541,G8,1,25,2,54,2,99,1,1,2015,Wisconsin,15W541,Wi_plot_line_2015_rep2,,,,,,
542,C30,1,25,2,54,3,99,1,1,2015,Wisconsin,15W542,Wi_plot_line_2015_rep2,,,,,,
543,Wuh09153i,1,25,2,54,4,99,1,1,2015,Wisconsin,15W543,Wi_plot_line_2015_rep2,,,,,,
544,FILL,1,25,2,54,5,99,1,1,2015,Wisconsin,15W544,Wi_plot_line_2015_rep2,,,,,,
545,Wu04401,1,25,2,54,6,99,1,1,2015,Wisconsin,15W545,Wi_plot_line_2015_rep2,,,,,,
546,We05401,1,25,2,54,7,99,1,1,2015,Wisconsin,15W546,Wi_plot_line_2015_rep2,,,,,,
547,IL671a,1,25,2,54,8,99,1,1,2015,Wisconsin,15W547,Wi_plot_line_2015_rep2,,,,,,
548,Check1,1,25,2,54,9,1,1,0,2015,Wisconsin,15W548,Wi_plot_line_2015_rep2,,,,,,
549,Wuh07422i,1,25,2,54,10,99,1,1,2015,Wisconsin,15W549,Wi_plot_line_2015_rep2,,,,,,
550,We08408,1,25,2,55,10,99,1,1,2015,Wisconsin,15W550,Wi_plot_line_2015_rep2,,,,,,
551,Me123,1,26,2,55,9,99,1,1,2015,Wisconsin,15W551,Wi_plot_line_2015_rep2,,,,,,
552,C13,1,26,2,55,8,99,1,1,2015,Wisconsin,15W552,Wi_plot_line_2015_rep2,,,,,,
553,SD884,1,26,2,55,7,99,1,1,2015,Wisconsin,15W553,Wi_plot_line_2015_rep2,,,,,,
554,FILL,1,26,2,55,6,99,1,1,2015,Wisconsin,15W554,Wi_plot_line_2015_rep2,,,,,,
555,SD789,1,26,2,55,5,99,1,1,2015,Wisconsin,15W555,Wi_plot_line_2015_rep2,,,,,,
556,FILL,1,26,2,55,4,99,1,1,2015,Wisconsin,15W556,Wi_plot_line_2015_rep2,,,,,,
557,Fa32B,1,26,2,55,3,99,1,1,2015,Wisconsin,15W557,Wi_plot_line_2015_rep2,,,,,,
558,Check2,1,26,2,55,2,2,1,0,2015,Wisconsin,15W558,Wi_plot_line_2015_rep2,,,,,,
559,Wh08022,1,26,2,55,1,99,1,1,2015,Wisconsin,15W559,Wi_plot_line_2015_rep2,,,,,,
560,C38,1,26,2,56,1,99,1,1,2015,Wisconsin,15W560,Wi_plot_line_2015_rep2,,,,,,
561,C18,1,26,2,56,2,99,1,1,2015,Wisconsin,15W561,Wi_plot_line_2015_rep2,,,,,,
562,Wh94053,1,26,2,56,3,99,1,1,2015,Wisconsin,15W562,Wi_plot_line_2015_rep2,,,,,,
563,FILL,1,26,2,56,4,99,1,1,2015,Wisconsin,15W563,Wi_plot_line_2015_rep2,,,,,,
564,Check1,1,26,2,56,5,1,1,0,2015,Wisconsin,15W564,Wi_plot_line_2015_rep2,,,,,,
565,Wh10035R,1,26,2,56,6,99,1,1,2015,Wisconsin,15W565,Wi_plot_line_2015_rep2,,,,,,
566,W3742,1,26,2,56,7,99,1,1,2015,Wisconsin,15W566,Wi_plot_line_2015_rep2,,,,,,
567,Me2,1,26,2,56,8,99,1,1,2015,Wisconsin,15W567,Wi_plot_line_2015_rep2,,,,,,
568,We09402,1,26,2,56,9,99,1,1,2015,Wisconsin,15W568,Wi_plot_line_2015_rep2,,,,,,
569,Me100,1,26,2,56,10,99,1,1,2015,Wisconsin,15W569,Wi_plot_line_2015_rep2,,,,,,
570,Wuh09149i,1,26,2,57,10,99,1,1,2015,Wisconsin,15W570,Wi_plot_line_2015_rep2,,,,,,
571,SD883,1,26,2,57,9,99,1,1,2015,Wisconsin,15W571,Wi_plot_line_2015_rep2,,,,,,
572,Ma83608,1,26,2,57,8,99,1,1,2015,Wisconsin,15W572,Wi_plot_line_2015_rep2,,,,,,
573,Wuh07186i,1,27,2,57,7,99,1,1,2015,Wisconsin,15W573,Wi_plot_line_2015_rep2,,,,,,
574,Check1,1,27,2,57,6,1,1,0,2015,Wisconsin,15W574,Wi_plot_line_2015_rep2,,,,,,
575,C3,1,27,2,57,5,99,1,1,2015,Wisconsin,15W575,Wi_plot_line_2015_rep2,,,,,,
576,VIA5492,1,27,2,57,4,99,1,1,2015,Wisconsin,15W576,Wi_plot_line_2015_rep2,,,,,,
577,C5-NT,1,27,2,57,3,99,1,1,2015,Wisconsin,15W577,Wi_plot_line_2015_rep2,,,,,,
578,ND1,1,27,2,57,2,99,1,1,2015,Wisconsin,15W578,Wi_plot_line_2015_rep2,,,,,,
579,F7,1,27,2,57,1,99,1,1,2015,Wisconsin,15W579,Wi_plot_line_2015_rep2,,,,,,
580,FILL,1,27,2,58,1,99,1,1,2015,Wisconsin,15W580,Wi_plot_line_2015_rep2,,,,,,
581,FILL,1,27,2,58,2,99,1,1,2015,Wisconsin,15W581,Wi_plot_line_2015_rep2,,,,,,
582,M6388,1,27,2,58,3,99,1,1,2015,Wisconsin,15W582,Wi_plot_line_2015_rep2,,,,,,
583,C8p,1,27,2,58,4,99,1,1,2015,Wisconsin,15W583,Wi_plot_line_2015_rep2,,,,,,
584,Check2,1,27,2,58,5,2,1,0,2015,Wisconsin,15W584,Wi_plot_line_2015_rep2,,,,,,
585,Ia59,1,27,2,58,6,99,1,1,2015,Wisconsin,15W585,Wi_plot_line_2015_rep2,,,,,,
586,W822Gse,1,27,2,58,7,99,1,1,2015,Wisconsin,15W586,Wi_plot_line_2015_rep2,,,,,,
587,FILL,1,27,2,58,8,99,1,1,2015,Wisconsin,15W587,Wi_plot_line_2015_rep2,,,,,,
588,Me135,1,27,2,58,9,99,1,1,2015,Wisconsin,15W588,Wi_plot_line_2015_rep2,,,,,,
589,NJ7Y,1,27,2,58,10,99,1,1,2015,Wisconsin,15W589,Wi_plot_line_2015_rep2,,,,,,
590,W5543,1,27,2,59,10,99,1,1,2015,Wisconsin,15W590,Wi_plot_line_2015_rep2,,,,,,
591,Wh96011,1,27,2,59,9,99,1,1,2015,Wisconsin,15W591,Wi_plot_line_2015_rep2,,,,,,
592,W3647,1,27,2,59,8,99,1,1,2015,Wisconsin,15W592,Wi_plot_line_2015_rep2,,,,,,
593,C4,1,27,2,59,7,99,1,1,2015,Wisconsin,15W593,Wi_plot_line_2015_rep2,,,,,,
594,IL689a,1,27,2,59,6,99,1,1,2015,Wisconsin,15W594,Wi_plot_line_2015_rep2,,,,,,
595,C22,2,28,2,59,5,99,1,1,2015,Wisconsin,15W595,Wi_plot_line_2015_rep2,,,,,,
596,ILB6011,2,28,2,59,4,99,1,1,2015,Wisconsin,15W596,Wi_plot_line_2015_rep2,,,,,,
597,FILL,2,28,2,59,3,99,1,1,2015,Wisconsin,15W597,Wi_plot_line_2015_rep2,,,,,,
598,CTS6-1,2,28,2,59,2,99,1,1,2015,Wisconsin,15W598,Wi_plot_line_2015_rep2,,,,,,
599,IL789b,2,28,2,59,1,99,1,1,2015,Wisconsin,15W599,Wi_plot_line_2015_rep2,,,,,,
600,P39Le-253,2,28,2,60,1,99,1,1,2015,Wisconsin,15W600,Wi_plot_line_2015_rep2,,,,,,
601,Wh98063,2,28,2,60,2,99,1,1,2015,Wisconsin,15W601,Wi_plot_line_2015_rep2,,,,,,
602,Check3,2,28,2,60,3,3,1,0,2015,Wisconsin,15W602,Wi_plot_line_2015_rep2,,,,,,
603,P51,2,28,2,60,4,99,1,1,2015,Wisconsin,15W603,Wi_plot_line_2015_rep2,,,,,,
604,FILL,2,28,2,60,5,99,1,1,2015,Wisconsin,15W604,Wi_plot_line_2015_rep2,,,,,,
605,Wuh09150i,2,28,2,60,6,99,1,1,2015,Wisconsin,15W605,Wi_plot_line_2015_rep2,,,,,,
606,We10401,2,28,2,60,7,99,1,1,2015,Wisconsin,15W606,Wi_plot_line_2015_rep2,,,,,,
607,NJ159,2,28,2,60,8,99,1,1,2015,Wisconsin,15W607,Wi_plot_line_2015_rep2,,,,,,
608,Check2,2,28,2,60,9,2,1,0,2015,Wisconsin,15W608,Wi_plot_line_2015_rep2,,,,,,
609,M45,2,28,2,60,10,99,1,1,2015,Wisconsin,15W609,Wi_plot_line_2015_rep2,,,,,,
610,IL777a,2,28,2,61,10,99,1,1,2015,Wisconsin,15W610,Wi_plot_line_2015_rep2,,,,,,
611,IaEV3015,2,28,2,61,9,99,1,1,2015,Wisconsin,15W611,Wi_plot_line_2015_rep2,,,,,,
612,IL729a,2,28,2,61,8,99,1,1,2015,Wisconsin,15W612,Wi_plot_line_2015_rep2,,,,,,
613,IL611a,2,28,2,61,7,99,1,1,2015,Wisconsin,15W613,Wi_plot_line_2015_rep2,,,,,,
614,FILL,2,28,2,61,6,99,1,1,2015,Wisconsin,15W614,Wi_plot_line_2015_rep2,,,,,,
615,We09413,2,28,2,61,5,99,1,1,2015,Wisconsin,15W615,Wi_plot_line_2015_rep2,,,,,,
616,EP61,2,28,2,61,4,99,1,1,2015,Wisconsin,15W616,Wi_plot_line_2015_rep2,,,,,,
