taxa,PC1,PC2,PC3
33-16,1.69009277858505,-4.90645264179877,0.98390381218316
38-11,-1.65645123985241,-4.7890166186866,-0.69957706466871
4226,-0.907284792962634,-6.24409583625215,2.28462297385621
4722,2.17533890183922,-6.26307140778682,5.61956981259361
A188,0.591891171383581,-4.94944510115843,0.779939923404206
A214N,-13.6545350071242,0.875279541637472,-21.6149888752376
A239,-0.566859042698663,-6.00005837887307,0.26224029212533
A272,3.77883601223944,2.76386004256285,2.25695589601686
A441-5,5.45234741921165,-0.130754408552896,1.11057426130951
A554,-0.962933177500359,-5.51002070289145,1.08379747051609
A556,0.525334374252413,-6.59574070279558,1.91249474627901
A6,10.4564387133686,10.4900310517522,0.487831234458278
A619,-0.044106020482077,-15.4988313385409,5.38048967956091
A632,-19.6532441559217,0.0213581563645523,-27.1921953724127
A634,-18.1029137893155,0.535918139842417,-25.2120606329749
A635,-18.6530927338655,-0.519305125110168,-25.3401449904745
A641,-11.5037315327149,-3.70616298074053,-17.3985262523944
A654,-0.376818226230106,-5.95777399148759,-1.04381831991702
A659,-1.20526593370655,-5.41107975606805,1.59023615941234
A661,0.507501424521336,-5.00827226352272,2.45975446823172
A679,-30.1518785249664,13.1381349372474,12.317141601265
A680,-35.9893640618332,16.0670824807108,12.5519472118108
A682,0.888532417531946,-8.49719922404171,0.0783864389702681
AB28A,0.933936476308873,-2.60606523500101,1.09443685911862
B10,-15.2302867046833,-1.31125645824532,-7.22897830179725
B103,-3.02217755894036,-5.06848665863352,-2.76424639441098
B104,-21.4185969202412,4.65790115092297,1.35738807008483
B105,-8.45001101278114,-0.443953382132212,0.93699209449633
B109,-29.9839096604145,13.235794792501,9.18884539056995
B115,0.824809966238581,-4.94528680314377,0.0154051461047468
B14A,-25.3174712193567,1.08242736883265,-29.3287397603246
B164,-2.35939131875367,-3.53525425790074,0.773914375187304
B2,-4.08047914397623,-4.00852616145562,-1.81291913656711
B37,-14.4588829607243,-0.017769156806369,5.76625982612732
B46,-7.02578136554452,-6.87763643173217,-3.67461411270335
B52,-1.98950890425347,-4.8910512725984,0.0266531216487306
B57,0.380700962619648,-3.21000205969192,1.72440898810761
B64,-15.2079292533869,1.2064741022146,-24.6702994560253
B68,-19.6570365563181,0.195201495603066,-27.3594594843192
B73,-38.7773847900676,17.8480596046813,13.4097406859999
B73HTRHM,-37.9079591587877,17.2175757035063,12.8486073238472
B75,-1.28386061021228,-6.42995280122805,0.944817458512059
B76,-12.8776740992633,-0.360891609266,5.81317715460069
B77,1.89172034332204,-3.38364182702886,-1.55756160024976
B79,-6.37401268287291,-4.22641117390686,-4.0443482707149
B84,-21.7665916335998,4.65430988070394,0.594266886788848
B97,-2.58469913925431,-7.62878814647269,-1.62778159393231
C103,4.09819143264195,-11.9681421186909,3.70440147400571
C123,2.42076656556073,-9.93569624734735,2.56957973206511
C49A,0.699854963582581,-4.68918646001015,-0.725370018298083
CH701-30,-2.66292206526439,-5.09235507754381,-0.233511111410084
CH9,1.56282156624324,-3.93403864344635,-0.0158010020851847
CI7,-0.00771792706590455,-5.33606368467807,1.62523589718209
CI187-2,4.40461159823249,-2.36933485073088,1.11995877005232
CI21E,-5.77457692443536,-0.364013880599253,-0.0496692062899489
CI28A,-0.849255689391126,-1.64958033450409,-1.1293842078186
CI31A,0.571911649504696,-4.28152223990194,2.62815011255347
CI3A,-0.651810787678344,-3.46654478776651,-2.59773929950393
CI64,3.22008965888046,-2.30774692484265,0.605491062710397
CI66,3.272993191225,-1.8520733093043,0.992165198757331
CI90C,2.01823036508695,-4.65340885074974,4.0305461732681
CI91B,-4.33629297413818,-2.66490386230682,0.765071648603239
CM105,-20.3789334944565,-0.122907279339566,-19.7854410135217
CM174,-14.7668901243185,-2.26910335811799,-21.9551479151445
CM37,-1.83655650361116,-8.76671205796984,-1.13308013147558
CM7,-0.0236150713064194,-6.929456691789,0.530808169183665
CML10,10.4397626180873,7.42057229877193,1.21290484452816
CML103,8.49928084249952,6.19081717410653,-0.133017511663917
CML108,8.35233539077505,8.32139266471993,-1.1260984021026
CML11,10.6987433104881,9.53275689551825,0.385785624328232
CML14,9.29732714947421,8.96870137021775,-0.824996747789022
CML154Q,8.47006953241381,7.7652550363406,-1.28944880930381
CML157Q,9.82559435311041,7.35351190073272,-2.30870410799423
CML158Q,9.70040041603979,8.27169422213032,-0.153067314699812
CML218,9.94549858929283,7.21130863501051,-0.936343875643747
CML220,7.56933749934986,7.72957777070658,-1.58833793174776
CML228,10.961880208348,7.93757774248295,0.976408931741959
CML238,8.90683381102795,9.8282454737669,0.460731057145629
CML247,9.96128279524049,6.01238118327804,1.11658667358043
CML254,11.5189394068407,9.31814201014338,-1.67762137040209
