Date_Starch,Year,Location,Row_Num,Sample_ID,Tube,NIR_ID,extra_notes,Starch,Total_Poly,WSP
2020.3.13,14,NY,568,14NY0568,2,14NY0568-2,,18.381967,18.83104877,0.449081766
2020.3.13,14,NY,643,14NY0643,2,14NY0643-2,,10.32374734,12.80930862,2.485561281
2020.3.13,15,W,2345,15W2345,2,15W2345-2,,21.10329582,33.03780563,11.93450981
2020.3.13,15,W,2413,15W2413,1,15W2413-1,,36.01412489,40.80886346,4.794738573
2020.3.13,15,W,2610,15W2610,2,15W2610-2,,12.10593299,10.84820421,-1.257728778
2020.6.4,,,starch,control,,,,78.623026,78.61342688,-0.00959912
2020.6.4,14,NY,237,14NY237,2,14NY0237-2,Manually edited NIR_ID,13.20900332,31.96654103,18.75753771
2020.6.4,14,NY,252,14NY252,2,14NY0252-2,Manually edited NIR_ID,16.37419674,26.3250284,9.950831664
2020.6.4,14,NY,263,14NY263,2,14NY0263-2,Manually edited NIR_ID,17.19523426,33.79618251,16.60094826
2020.6.4,14,NY,347,14NY347,2,14NY0347-2,Manually edited NIR_ID,18.25799119,36.2920831,18.03409191
2020.6.4,14,NY,408,14NY408,2,14NY0408-2,Manually edited NIR_ID,17.17367713,38.73151277,21.55783565
2020.6.4,14,NY,656,14NY656,1,14NY0656-1,Manually edited NIR_ID,24.62308085,24.26433481,-0.358746037
2020.6.4,14,NY,656,14NY656,2,14NY0656-2,Manually edited NIR_ID,25.02539203,31.18310617,6.15771414
2020.6.4,14,NY,878,14NY878,1,14NY0878,Manually edited NIR_ID,28.24339392,29.49470975,1.251315832
2020.6.4,15,W,2336,15W2336,2,15W2336-2,,6.802224994,14.98819141,8.185966416
2020.6.4,15,W,2807,15W2807,2,15W2807-2,,16.39219747,36.71716652,20.32496905
2020.6.4,15,W,3001,15W3001,2,15W3001-2,,10.0331163,27.58366969,17.55055339
2020.6.4,15,W,3146,15W3146,2,15W3146-2,,8.537877052,8.639036094,0.101159042
2020.6.8,,,starch,control,,,,76.0742803,78.69246684,2.618186539
2020.6.8,15,NY,289,15NY289,,15NY0289,Manually edited NIR_ID,27.79921116,41.30777183,13.50856067
2020.6.8,14,NY,496,14NY496,2,14NY0496-2,Manually edited NIR_ID,17.77337547,33.10024256,15.32686709
2020.6.8,15,NY,718,15NY718,,15NY0718,Manually edited NIR_ID,15.15829634,29.43170909,14.27341276
2020.6.8,15,NY,720,15NY720,,15NY0720,Manually edited NIR_ID,15.66068557,26.69759524,11.03690967
2020.6.8,15,NY,724,15NY724,,15NY0724,Manually edited NIR_ID,17.85325555,27.17736925,9.324113702
2020.6.8,14,NY,767,14NY767,1,14NY0767-1,Manually edited NIR_ID,6.0751505,4.95742703,-1.11772347
2020.6.8,15,NY,788,15NY788,,15NY0788,Manually edited NIR_ID,28.2402714,32.27969174,4.03942034
2020.6.8,15,NY,804,15NY804,,15NY0804,Manually edited NIR_ID,23.7281851,33.55211981,9.823934713
2020.6.8,14,NY,809,14NY809,1,14NY0809-1,Manually edited NIR_ID,9.133296018,34.85442489,25.72112888
2020.6.8,14,NY,825,14NY825,2,14NY0825-2,Manually edited NIR_ID,13.77961073,33.71464734,19.93503661
2020.6.8,14,NY,832,14NY832,2,14NY0832-2,Manually edited NIR_ID,33.21154194,35.39854496,2.187003025
2020.6.9,,,starch,control,,,,72.59907936,73.22227267,0.623193308
2020.6.9,14,NY,107,14NY107,2,14NY0107-2,Manually edited NIR_ID,18.96687818,36.66231783,17.69543964
2020.6.9,14,NY,252,14NY252,2,14NY0252-2,Manually edited NIR_ID,18.74264557,25.6513214,6.908675833
2020.6.9,14,NY,261,14NY261,1,14NY0261-1,Manually edited NIR_ID,24.38116755,43.33837191,18.95720437
2020.6.9,14,NY,403,14NY403,2,14NY0403-2,Manually edited NIR_ID,13.18509554,,
2020.6.9,14,NY,440,14NY440,1,14NY0440-1,Manually edited NIR_ID,39.87527264,43.0356842,3.16041156
2020.6.9,14,NY,444,14NY444,1,14NY0444-1,Manually edited NIR_ID,8.555809406,10.44378413,1.887974722
2020.6.9,14,NY,453,14NY453,2,14NY0453-2,Manually edited NIR_ID,25.20353243,42.71879788,17.51526544
2020.6.9,14,NY,553,14NY553,2,14NY0553-2,Manually edited NIR_ID,19.2271777,38.72317123,19.49599353
2020.6.9,14,NY,735,14NY735,1,14NY0735-1,Manually edited NIR_ID,20.62921254,17.90020909,-2.729003442
2020.6.9,14,NY,778,14NY778,2,14NY0778-2,Manually edited NIR_ID,17.45176014,27.45561706,10.00385692
2020.6.9,15,W,2352,15W2352,2,15W2352-2,,15.34392439,9.481537724,-5.86238667
2020.6.9,15,W,2404,15W2404,1,15W2404-1,,6.698579988,10.04024554,3.341665554
2020.6.9,15,W,3401,15W3401,2,15W3401-2,,10.35209367,23.72690007,13.37480641
2020.6.9,14,W,30324,14W30324,1,14W30324-1,,34.64480097,34.67489813,0.030097159
2020.6.9,14,W,31102,14W31102,1,14W31102-1,,35.47072465,34.24312381,-1.227600839
