"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Inbred","Edit"
"382","668","15NY0694",21.2502823,11.0810642,-0.5554628,5.2310524,5.9304132,21.5410805,33.2181168,"Wuh07429i","WSP Zeroed"
"383","199","14NY0656-1",27.18369485,28.4800062,-0.52540955,4.59140945,5.18965125,14.8742194,24.4958029,"DF14","WSP Nulled"
"384","751","15W2768-2",16.2764168,22.2777042,-0.5241207,5.9656663,6.1123095,18.3850231,30.3972988,"Wh92054","WSP Nulled"
"385","571","15NY0188",27.6707916,20.2198353,-0.5239463,4.2092795,5.0979261,17.4117699,26.9548531,"Wuh09183i","WSP Zeroed"
"386","328","14W31244",27.0746498,28.3127384,-0.5208055,4.037827,4.1403456,12.2662926,20.1445236,"Wuh07466i","WSP Nulled"
"387","587","15NY0265",25.8824387,16.8796196,-0.50169,4.4462023,5.4111853,18.8913651,29.128418,"34f","WSP Zeroed"
"388","221","14NY0714-1",17.1898003,9.9819784,-0.4981424,5.7353258,6.3292961,22.5139885,35.0662842,"Wh05070a","WSP Zeroed"
"389","753","15W2804-2",15.8561621,20.9673843,-0.4922844,6.1006765,6.4239645,19.6852322,32.213932,"Wh00065","WSP Zeroed"
"390","175","14NY0620-2",12.3478632,19.2478333,-0.4877743,6.6576619,6.7166567,20.188303,33.5400162,"Wh10140R","WSP Zeroed"
"391","227","14NY0725-1",23.4976425,28.3183479,-0.4816612,5.1747999,5.3558536,14.7047644,24.9900532,"A632","WSP Zeroed"
"392","168","14NY0608-1",11.1784048,17.5455894,-0.4764658,6.6065111,6.7090979,20.6474018,33.9597397,"Wh94053","WSP Zeroed"
"393","787","15W3170-2",18.2580223,21.932806,-0.4759939,5.6195822,6.0667315,18.6262398,30.33918,"Wh98044","WSP Nulled"
"394","47","14NY0198-2",15.4702272,10.7411194,-0.4691415,6.1967306,6.6962962,23.2733326,36.5791016,"Wh10035R","WSP Zeroed"
"395","616","15NY0393",23.4245911,22.9729061,-0.4641005,5.0047722,5.6018257,17.5244865,28.2003613,"Wh10006R","WSP Nulled"
"396","317","14W31121",34.8372231,40.080925,-0.4622049,3.6601076,3.4671726,7.2844219,13.6816673,"Wuh07177i","WSP Zeroed"
"397","626","15NY0471",25.2857857,21.6135273,-0.4579549,4.5542793,5.3179216,16.7445679,26.8293152,"Wh92047","WSP Zeroed"
"398","309","14W31062",24.4952736,24.9756165,-0.454437,4.1966114,4.4539247,13.750411,22.2746372,"Wuh09170i","WSP Zeroed"
"399","519","14W32347",35.9847755,40.8159256,-0.4425088,3.5163941,3.3778987,6.931324,13.0956421,"Wuh07177i","WSP Zeroed"
"400","38","14NY0162-1",8.4285612,12.5055466,-0.4402018,7.0096235,7.3580666,23.8621635,38.468853,"Wh09075","WSP Nulled"
"401","22","14NY0117-1",12.3145819,11.6860352,-0.4254667,6.5809941,6.8713198,22.9937286,36.7720718,"Wh04020a","WSP Zeroed"
"402","63","14NY0239-1",12.8903246,20.476696,-0.4003006,6.7376671,6.7259746,20.1445541,33.5376244,"Wh00033","WSP Zeroed"
"403","68","14NY0250-1",15.5275302,13.4691553,-0.39439235,5.82619715,6.25623465,21.02413465,33.413435,"Wh03031","WSP Zeroed"
"404","745","15W2731",29.470089,27.9715767,-0.3799185,3.8687773,4.836256,14.1661987,22.9127369,"Wh92047","WSP Zeroed"
"405","768","15W2968-1",15.2945528,22.9180832,-0.3777225,6.2578773,6.2361479,18.2881966,30.6860561,"Wh07165R","WSP Zeroed"
"406","143","14NY0540-2",13.3828897,21.5814877,-0.369619,6.7104454,6.2510138,17.9696579,30.7402954,"Wh10163","WSP Nulled"
"407","509","14W32309-1",17.1294937,26.1967201,-0.35452,6.1605368,5.9047718,15.9271297,27.7399712,"A632","WSP Zeroed"
"408","507","14W32307",34.3781967,39.9684715,-0.3433017,3.7318673,3.4624262,7.1756496,13.6619492,"Wuh08127i","WSP Zeroed"
"409","128","14NY0440-1",33.6652584,34.67002295,-0.33977965,3.9067206,4.38901735,11.10997295,19.0596018,"B73","WSP Zeroed"
"410","495","14W32248",28.6464043,28.5049381,-0.323276,3.9078031,4.1667948,12.5715618,20.4509125,"tropical ","WSP Zeroed"
"411","228","14NY0725-2",23.4534798,26.0463829,-0.3082392,4.9517078,5.4119701,15.3687258,25.6735058,"A632","WSP Zeroed"
"412","759","15W2830",15.4509134,22.662487,-0.3061353,6.2805023,6.2404976,18.3103504,30.7412186,"Wh10173V","WSP Nulled"
"413","299","14W30940-1",18.9186172,23.7654972,-0.2801987,5.6550722,5.8217473,17.0641861,28.5226517,"Wh10216V","WSP Nulled"
"414","126","14NY0407-1",32.8780619333333,31.6497503666667,-0.261999133333333,3.8026684,4.69093083333333,12.9398972333333,21.3054014666667,"OH43","WSP Zeroed"
"415","596","15NY0295",17.2344475,14.9289989,-0.2522382,5.983079,6.3010721,20.8514519,33.4717064,"Wuh07183i","WSP Zeroed"
"416","553","15NY0098",16.7788734,14.5029688,-0.2377813,5.873807,6.3399649,21.0366669,33.6277809,"Wuh09149i","WSP Zeroed"
"417","547","15NY0067",25.6840401,15.8627815,-0.23737,4.4629364,5.3483624,18.7400436,29.0166397,"Wh10035R","WSP Zeroed"
"418","528","14W32461-1",15.1433954,22.3232689,-0.2102284,6.2409172,6.2310123,18.1258316,30.5751839,"Wh93017","WSP Nulled"
"419","250","14NY0760-1",18.6402016,22.1158524,-0.1918732,5.7960787,6.1481314,18.3856697,30.3785095,"Wh10006R","WSP Nulled"
"420","236","14NY0745-1",16.134903,21.3950119,-0.1828539,6.1653724,6.2449226,18.478651,30.8793354,"Wh96034","WSP Zeroed"
"421","121","14NY0362-1",30.3568497,34.8987274,-0.1825551,4.4397407,4.61236,10.9336014,19.5956974,"A632","WSP Zeroed"
"422","159","14NY0576-1",16.1970901,19.1953354,-0.1709697,6.0014973,6.4395323,19.7694302,32.3856163,"Wh08042","WSP Zeroed"
"423","303","14W30945-1",5.3857565,17.0068359,-0.1550972,7.8418384,7.4446912,22.4829407,37.7681885,"Wh09068","WSP Nulled"
"424","372","14W31479",23.6214638,23.9667149,-0.1436799,4.2899919,4.316895,13.4135523,21.9331646,"Wuh09188i","WSP Nulled"
"425","463","14W32075",18.9933243,20.1015167,-0.1031268,5.1568394,5.1017861,16.3209801,26.5754814,"Wuh09191i","WSP Zeroed"
"426","385","14W31546",28.6447315,28.75095845,-0.09855075,3.7913115,4.0086813,11.41018295,19.06019495,"Wuh09170i","WSP Zeroed"
"427","10","14NY0075-1",15.3954306,11.242403,-0.0942841,6.0321784,6.5282488,22.3502846,35.3767319,"34f","WSP Zeroed"
"428","724","15W2367-2",17.1616669,23.0411034,-0.0902586,6.0397563,6.1661325,18.0903339,30.2886734,"Wh00033","WSP Zeroed"
"429","543","15NY0036",26.493969,17.0104885,-0.0848508,4.3507509,5.1574574,17.9899254,27.9319477,"Wh09126R","WSP Nulled"
"430","391","14W31632",23.8617401,24.7950134,-0.0847681,4.3607712,4.4092913,13.4711571,22.1406898,"Wuh07481i","WSP Zeroed"
"431","138","14NY0522-1",24.2387848,26.0448437,-0.078264,5.1845422,5.5591831,15.8254938,26.5037899,"F7","WSP Zeroed"
"432","53","14NY0213-2",4.9859314,20.5694466,-0.0768204,8.0476418,6.9569306,19.2148361,33.93927,"Wh92054","WSP Nulled"
"433","263","14NY0815-2",29.5997505,32.3409576,-0.0706704,4.3561616,4.7227268,11.6888351,20.5381126,"A632","WSP Zeroed"
"434","422","14W31863-1",5.3056822,18.1546173,-0.0573974,7.9835129,7.4098482,21.6096306,36.968338,"Wh09068","WSP Nulled"
"435","2","14NY0017-1",20.3797555,26.2350445,-0.0569705,5.73077965,5.779726,15.88528825,27.2613716,"W64A","WSP Zeroed"
"436","439","14W31944",25.5602875,26.5200481,-0.051342,4.0989347,4.1401553,12.2273407,20.3359718,"Wuh09188i","WSP Nulled"
"437","362","14W31432-2",1.2353897,18.3349171,-0.0496473,8.8063984,7.7454028,21.9707928,38.3113022,"Wh10046R","WSP Nulled"
