"Inbred","Starch.BLUP","Total.Polysaccharides.BLUP","WSP.BLUP","Glucose.BLUP","Fructose.BLUP","Sucrose.BLUP","Total.Sugar.BLUP"
"2",2.02513749810979,5.27450164813917,2.8313822697468,-0.704990700945411,-1.04009348056397,-0.0973346757997849,-2.28854738358784
"257A9",14.8666181814667,1.88078524654346,-7.14281508677028,0.797512705479283,0.854371557152134,-2.87739928104259,-1.66425125206096
"304A",-0.943138367254794,1.77994826774779,2.14040822208164,-0.418503747474003,-0.642374965081522,-2.12512273030102,-3.21225651113495
"471-U6",-4.55436911158897,-1.65506589161481,2.44877501301656,0.511617200143472,0.777795414482007,2.48715344470642,2.84563461938787
"675A",-0.263996177149903,-4.92597854391385,-4.50995271834233,1.01926570213989,1.30044335206466,0.420290452786077,3.73767384389976
"81-1",-4.69481273230505,0.801696034312797,3.60741706376755,-0.172261059243419,-0.116753575827909,1.58454422373275,0.852226260985395
"83610b",-4.09026311097006,-2.83453280140916,1.28835085723341,0.639186577430199,0.386402820391552,2.66085477569024,4.89763774287996
"83612b",-4.06220833854456,-3.50421461025023,0.657572002284564,0.70264135487949,1.07555401239097,4.45820778850625,6.77432986440071
"A10579",0.323024575914343,-5.0269151466129,-5.48830934973284,0.231937324380588,1.50574848422572,3.66655282252736,6.38244832218125
"A15",17.3358336635116,8.14148370268436,-8.42399050100533,0.00823247414327048,0.126383817729013,-6.28268471671149,-4.71113119728706
"A648",25.4711647455019,12.2597110888659,-10.1311777484939,-0.253591320890499,-0.143283973846806,-5.5233374675069,-5.92199109071341
"A684",3.26338479163712,-0.690703407893667,-4.30888513207744,0.442160312144972,0.0152202540176666,-5.47718480890618,-3.29976870789004
"A685",4.89797029005774,2.71822179023715,-2.96267807270485,-0.240971606076522,-0.302900069791086,-4.23894755495629,-3.67457614567222
"A686",4.48085639443113,2.81300584029181,-1.84125468098409,-0.476713096481858,-0.306683870005924,-4.55345813941385,-4.07890957855565
"A7",25.710527031843,5.38576453459865,-9.416313486809,-0.106494235036659,0.517593690331888,-8.67989852683143,-8.45865264408689
"AS11",1.35051537031174,2.13246739536936,0.992805339480567,-0.190002136934521,-0.0495007926174491,-0.671339456623916,-1.03969966120111
"B5765",-5.86035454544955,-3.4990174738982,1.93791747965734,0.543184655505923,0.426695687424763,2.34103521948606,2.73115612994575
"B5870",4.28995907075011,1.24278076913763,-2.54368745751855,-0.250824799078074,-0.316159151348445,-1.82845865968309,-2.32869345486113
"C12-1",2.62691764572071,1.11394791687729,-1.34469716365307,0.0277016363901652,0.030851693237677,-2.64425365323904,-1.8251550689056
"C13",3.76430971169529,2.70354022522797,-0.773819270766208,-0.227841204170193,-0.561757083993239,-4.86910220232308,-4.72965381617898
"C15",3.6360341991625,0.969182347901611,-1.62155566097379,0.331903967982889,0.224286685447288,0.435553781964258,0.937215428871368
"C18",-0.348243194960291,2.45501643272087,2.3842992113707,-0.649878411648273,-0.700042903220593,-2.37488404692692,-3.34467385483008
"C2",1.13516534366018,2.53065842245661,1.1001759890914,-1.02248054485134,-0.296355164092341,1.23468460521071,-1.53565171090117
"C22",5.42507611058214,4.49023919250288,-1.26803578174769,-0.614557944186948,-0.763436800568906,-2.77884181908235,-3.69787164692099
"C23",0.884559325211612,3.04172160572197,1.8012796684878,-0.864855483760608,-0.803400155495387,0.252983896847582,-1.71504016942754
"C27",0.785199494684225,0.000453987810972876,-0.881572296194596,-0.438080226641908,-1.11960413027994,-1.42611707745522,-3.47717909852274
"C27red",2.98802599170881,2.68086459166304,-0.183834172383279,-0.633865764366772,-1.0735200364784,-3.84094396925119,-3.95154132091316
"C3",5.68104446125308,0.17515206218585,-4.58154600792326,-0.314507218858721,-0.106673732560318,-2.88253629826049,-1.97767345338829
"C30",1.73245840145901,5.26793446323226,3.35780458232865,-1.13495700766882,-1.32623557511239,-3.22410454633536,-5.72376741176717
"C31",3.73742106255942,7.00568862962,3.15410793821615,-1.54737906436801,-1.45404821953357,-0.755149290751668,-4.6397336531828
"C38",6.40142254250195,0.845472600415865,-4.9421385287612,-0.163393286579981,-0.409860049537265,-4.09394640784274,-2.98313439966187
"C4",6.59852000765902,-3.00133663496036,-7.97374962298575,0.678283016677924,0.998780999545236,-1.92721147433907,1.92904104840427
"C40",0.7285399777242,-3.49290498956235,-3.98399784185706,0.95209402954791,0.856188815411137,0.743538550105576,3.74344534879437
"C42",6.1654565333948,7.483775251313,1.17284022546544,-1.58900064533846,-2.09450261596062,-4.8941441316639,-8.56847942515773
"C5",0.18367665096429,0.00850889528406898,-0.318985972372488,-0.0389422250033832,-0.0595785292547677,-1.15391614672708,-0.590593370331224
"C5-NT",0.142109626464749,-4.47696817016999,-4.07474482611976,0.0754716878848146,0.121292458057203,-2.36825543589704,-0.980287464215416
"C65",2.19128039793662,3.7701526956009,1.10400697427795,-0.439991411567884,-0.949182753049022,-4.3146740143759,-5.56996646692465
"C68",2.69242476043564,4.64379001753439,1.50121907385485,-0.744266213777879,-0.92104653668486,-4.30660298318887,-5.84490341957513
"C68R",1.53923860463772,3.75574407242832,2.07333989405317,-0.153947917102893,-0.540828536303613,-1.91879017183454,-2.23961333668862
"C6A",2.47678274854521,5.00333729627522,1.66073827352438,-0.343481211629915,-0.323641874048219,-0.640050016599336,-0.730533246546064
"C7",2.67711567409816,2.41848288386271,-0.715237223570374,0.0189408591314109,-0.227221300376494,-2.54722516585143,-2.63167730935711
"C7e",1.57585067589172,4.84985100238536,2.93877737382448,-0.977739200997897,-1.05441092588334,-1.74689751758212,-3.34487155654096
