"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Variety","Edit"
"308","164","14NY0609",19.5194764,14.38974905,-1.1638015,5.28571415,6.0173042,21.4961071,32.9860449,"Wuh07422i","WSP Zeroed"
"309","88","14NY0300-2",15.0000925,12.3363781,-1.1597593,6.1425905,6.7020626,23.4143333,36.4711151,"Wh96011","WSP Zeroed"
"310","13","14NY0081-2",16.1145554,14.3395405,-1.1194577,6.0569534,6.5360632,22.0199165,34.7739449,"R851","WSP Zeroed"
"311","172","14NY0625-1",9.6701298,11.4941607,-1.0987726,6.3668127,6.9734206,23.9447441,37.4758835,"Wh03031","WSP Zeroed"
"312","194","14NY0668-2",15.2701387,20.0531616,-1.0892615,6.2512655,6.588542,20.4986725,33.241497,"Wh04036V","WSP Zeroed"
"313","228","14NY0748-1",9.5738792,15.9728279,-1.0719155,6.8751416,7.1286993,22.7264462,36.7143631,"Wh07165R","WSP Nulled"
"314","507","15NY0308",25.6368942,18.1581993,-1.0557829,4.4066229,5.3544369,18.8355751,28.8109188,"Wh09137R","WSP Zeroed"
"315","124","14NY0473-2",14.6436586,10.7840443,-1.0486304,6.1613054,6.712009,23.919054,37.0493546,"R839","WSP Zeroed"
"316","534","15NY0491",25.2951851,16.4536266,-1.0246599,4.5250788,5.3948083,19.4518948,29.6218891,"Wh08022","WSP Zeroed"
"317","196","14NY0669-2",25.1549644,22.4728241,-1.0124959,4.6951857,5.5117855,17.9503136,28.188591,"Wuh09098i","WSP Zeroed"
"318","249","14NY0792-1",12.6874151,17.2170334,-1.0113525,6.6047378,6.932013,21.957407,35.4585915,"Wh00033","WSP Zeroed"
"319","383","14W32067",30.4194679,28.6240635,-0.9981112,3.3585982,4.0501986,12.7828999,19.9454288,"Wuh07466i","WSP Nulled"
"320","240","14NY0767-1",8.2067423,10.9729385,-0.9973879,6.9455862,7.5141358,25.1668663,39.872406,"Wh96015","WSP Nulled"
"321","236","14NY0758-1",7.9330473,15.0623522,-0.9949573,7.0317492,7.3511705,23.3240509,37.7291031,"Wh07051","WSP Nulled"
