"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Inbred","Edit"
"542","1505","14W31741-1",12.64077,22.7700386,8.9380569,4.7733259,4.0160627,-0.0180054,11.1224098,"Check2","Sucrose Zeroed"
"543","1798","14W32479",15.0120163,32.4831467,17.0258102,2.2680898,1.6401205,-0.0049553,1.7012033,"A10579","Sucrose Nulled"
"544","1083","14W30743",19.4402962,44.4094162,26.1566696,2.01123,2.042697,4.6389046,-0.7899351,"LUTHER HILL","Total.Sugar Nulled"
"545","1207","14W31072",17.6831017,38.4880066,19.7562485,2.413213,1.983011,0,-0.4677124,"W6366","Total.Sugar Zeroed"
"546","901","14NY0846-1",49.9397545,NA,NA,0.3508595,5.3388939,18.6074371,14.4388046,"IL14b","Starch Nulled"
"547","294","14NY0262-1",35.5999908,40.0524139,2.5113983,3.2977962,5.0932722,4.5143318,11.9454708,"P39","Starch Nulled"
"548","3121","14W31704",33.2626953,32.4019623,0.4082952,3.3942313,3.6713533,9.3823566,16.3360996,"Wuh07469i","Starch Nulled"
"549","1804","15NY0005",45.3232193,55.01828,9.7317505,1.1135014,1.2199035,8.3724403,9.2530155,"V781","Total.Polysaccharides Nulled"
"550","1401","14W31530",42.7086945,51.7158966,7.9605789,4.3253245,4.5780168,9.0419502,10.047224,"257A9","Total.Polysaccharides Nulled"
"551","1759","14W32428-1",2.8017311,5.4576492,0,12.1108341,10.698391,14.6831055,40.4685097,"C27","Glucose Nulled"
"552","541","14NY0508",23.32827,NA,NA,11.0399799,7.3504086,NA,NA,"Check1","Glucose Nulled"
"553","2085","15NY0451",18.5754356,18.4522057,0,10.5538025,7.89079,11.0493202,32.6110458,"IL793a","Glucose Nulled"
"554","1490","14W31722-1",2.3131027,17.051693,12.3264999,10.1232424,9.9689875,21.5029488,40.9565544,"C42","Glucose Nulled"
"555","120","14NY0078-1",3.0301056,14.6611137,9.4403,10.0210152,9.1223793,21.5512543,41.7272072,"Check1","Glucose Nulled"
"556","18","14NY0011-1",0.2602615,4.0886154,5.5938873,9.9302559,9.6610527,21.3646622,44.6774979,"Check1","Glucose Nulled"
"557","2494","15W2558-2",15.3144646,16.2962914,1.3530502,9.7423172,9.2930975,20.4558449,37.8701363,"Check1","Glucose Nulled"
"558","1092","14W30836-1",NA,NA,11.0314255,9.7055206,9.3117638,16.2731667,37.0745468,"Check1","Glucose Nulled"
"559","119","14NY0078",3.8838234,14.9004173,8.9388123,9.7046871,9.392786,21.9288445,41.1137619,"Check1","Glucose Nulled"
"560","1248","14W31128-1",NA,NA,12.1435013,9.6374617,9.3552322,16.1633911,35.7288666,"Check1","Glucose Nulled"
"561","536","14NY0505-1",4.5191689,14.5185623,8.6439133,9.5609379,8.8831911,20.013401,39.2755547,"Check1","Glucose Nulled"
"562","1298","14W31309-1",11.149044,NA,NA,9.5109825,9.6875973,19.9229088,38.3766136,"I45","Glucose Nulled"
"563","1470","14W31702-1",8.895546,18.0045624,6.9575958,9.4365377,9.804244,13.6728363,31.9792976,"Wu00802","Glucose Nulled"
"564","1927","15NY0208",8.5925903,15.3363037,6.2730408,9.4227295,7.741312,9.1873131,29.6093292,"IL773a","Glucose Nulled"
"565","3078","14W31432-1",NA,NA,0.096168,9.3555365,8.1854477,23.6111832,41.0309143,"Wh10046R","Glucose Nulled"
"566","62","14NY0043-2",13.0342026,13.8239708,0.6245193,9.3511963,9.5031538,15.1578674,32.6697311,"Check1","Glucose Nulled"
"567","563","14NY0527-1",2.6914177,15.4918137,10.6638947,9.1350002,8.6810322,18.6786804,37.6254997,"We05401","Glucose Nulled"
"568","1347","14W31453-1",2.8074722,11.5588989,8.2506714,9.119072,8.7659521,17.8797798,37.7312241,"Check1","Glucose Nulled"
"569","17","14NY0011",15.4743118,NA,NA,9.0456257,9.942852,20.9634666,37.0384407,"Check1","Glucose Nulled"
"570","2131","15NY0519",6.8138313,17.732048,9.9061508,8.9784355,8.5787382,18.0043831,36.164032,"Check1","Glucose Nulled"
"571","1759","14W32428-1",2.8017311,5.4576492,0,NA,10.698391,14.6831055,NA,"C27","Fructose Nulled"
"572","1490","14W31722-1",2.3131027,17.051693,12.3264999,NA,9.9689875,21.5029488,NA,"C42","Fructose Nulled"
"573","17","14NY0011",15.4743118,NA,NA,NA,9.942852,20.9634666,NA,"Check1","Fructose Nulled"
"574","1468","14W31679-1",10.488884,NA,NA,8.8107891,9.8409109,11.6135025,30.5024872,"IL803a","Fructose Nulled"
"575","1470","14W31702-1",8.895546,18.0045624,6.9575958,NA,9.804244,13.6728363,NA,"Wu00802","Fructose Nulled"
"576","2919","14NY0666-2",2.7438574,NA,0,7.5285826,8.5876551,34.8276749,51.0261383,"Wh01001","Sucrose Nulled"
"577","2910","14NY0643-2",8.2037029,0.843261,0,6.6986403,8.1426506,33.5793381,48.3713684,"Wh07061a","Sucrose Nulled"
"578","2806","14NY0300-1",6.9345694,2.9875,0,6.9789462,7.9785185,31.1068554,46.1233139,"Wh96011","Sucrose Nulled"
"579","2790","14NY0269-2",3.0927916,NA,0,7.507308,8.4773083,33.6076355,49.8410645,"Wh10049R","Total.Sugar Nulled"
